sending_region,receiving_region,milliseconds
asia-southeast2,us-east5,219.608
europe-west4,asia-northeast1,220.534
asia-northeast1,europe-west4,220.531
us-east4,asia-east1,173.312
asia-east1,us-east4,173.311
europe-north1,asia-south2,171.329
asia-south2,europe-north1,171.62
asia-northeast3,us-west2,126.502
us-west2,asia-northeast3,126.505
asia-east2,us-west3,152.827
us-west2,europe-west6,154.694
europe-west6,us-west2,154.701
us-west4,europe-west8,154.675
europe-west8,us-west4,154.691
us-west1,asia-northeast3,114.62
asia-northeast3,us-west1,114.625
us-east1,europe-west3,97.447
europe-west3,us-east1,97.452
europe-west3,us-central1,110.338
us-central1,europe-west3,110.354
us-east1,asia-south2,234.501
asia-south2,us-east1,234.5
europe-north1,us-east5,109.167
us-west3,europe-west3,128.892
europe-west3,us-west3,128.908
europe-west4,us-west4,145.335
us-west4,europe-west4,145.337
europe-west9,us-west2,141.594
us-west2,europe-west9,141.613
us-east1,asia-east1,185.009
asia-east1,us-east1,184.989
us-west4,europe-north1,159.946
europe-north1,us-west4,159.943
us-central1,europe-west10,111.449
europe-west10,us-central1,111.458
us-east4,asia-northeast3,169.453
asia-northeast3,us-east4,169.454
us-west2,europe-west1,142.918
europe-west1,us-west2,142.96
us-west2,europe-west8,158.44
europe-west8,us-west2,158.449
northamerica-northeast2,asia-south2,232.991
asia-south2,northamerica-northeast2,232.993
australia-southeast2,europe-west4,271.924
europe-west4,australia-southeast2,271.914
northamerica-northeast1,asia-northeast1,148.59
asia-northeast1,northamerica-northeast1,148.597
asia-northeast3,northamerica-northeast1,174.929
northamerica-northeast1,asia-northeast3,174.936
australia-southeast2,asia-southeast1,84.133
asia-southeast1,australia-southeast2,84.131
australia-southeast2,europe-west10,277.545
europe-west10,australia-southeast2,277.558
europe-west10,asia-southeast1,203.402
asia-southeast1,europe-west10,203.392
europe-west3,asia-south1,123.985
asia-south1,europe-west3,123.984
europe-west12,us-central1,116.738
us-central1,europe-west12,116.642
us-east1,asia-southeast1,216.95
asia-southeast1,us-east1,217.005
asia-east1,northamerica-northeast1,179.332
northamerica-northeast1,asia-east1,178.66
us-east5,europe-west4,88.001
europe-west4,us-east5,87.942
europe-west1,australia-southeast1,281.031
australia-southeast1,europe-west1,281.003
australia-southeast2,us-west2,149.097
us-west2,australia-southeast2,149.102
us-west3,asia-northeast3,140.271
asia-northeast3,us-west3,140.26
europe-west2,us-east4,75.893
us-east4,europe-west2,75.757
me-west1,southamerica-east1,242.561
southamerica-east1,me-west1,242.568
europe-west8,northamerica-northeast1,99.625
northamerica-northeast1,europe-west8,99.616
asia-northeast2,us-central1,153.431
us-central1,asia-northeast2,153.428
southamerica-east1,asia-southeast1,316.922
asia-southeast1,southamerica-east1,316.906
australia-southeast1,us-east1,195.474
us-east1,australia-southeast1,195.523
asia-east1,northamerica-northeast2,171.987
northamerica-northeast2,asia-east1,171.981
australia-southeast1,europe-west9,270.084
europe-west9,australia-southeast1,270.186
southamerica-east1,asia-northeast3,284.669
asia-northeast3,southamerica-east1,284.678
europe-west9,us-east1,89.238
us-east1,europe-west9,89.078
northamerica-northeast2,europe-southwest1,95.294
europe-west8,us-west3,136.51
us-west3,europe-west8,136.512
us-east4,europe-west9,78.458
europe-west9,us-east4,78.451
southamerica-east1,asia-east2,296.798
asia-east2,southamerica-east1,296.794
europe-west12,europe-west6,7.814
europe-west6,europe-west12,7.804
us-central1,europe-west2,94.413
europe-west2,us-central1,94.398
southamerica-east1,us-east4,114.194
us-east4,southamerica-east1,114.205
northamerica-northeast1,europe-west6,98.438
europe-west6,northamerica-northeast1,98.43
us-west2,europe-west4,149.451
europe-west4,us-west2,149.456
us-west3,australia-southeast2,162.916
australia-southeast2,us-west3,162.915
europe-west6,europe-north1,33.33
europe-north1,europe-west6,33.313
europe-west12,me-west1,43.722
me-west1,europe-west12,43.747
northamerica-northeast2,us-west3,40.993
us-west3,northamerica-northeast2,41.019
me-west1,us-east4,127.838
us-east4,me-west1,127.396
europe-north1,europe-southwest1,49.794
europe-southwest1,europe-north1,49.795
northamerica-northeast1,europe-west9,82.579
europe-west9,northamerica-northeast1,82.596
europe-west8,europe-central2,29.824
europe-central2,europe-west8,29.832
us-east5,us-west2,60.743
us-west2,us-east5,60.759
europe-west9,europe-west8,18.338
europe-west8,europe-west9,18.341
northamerica-northeast2,asia-northeast1,140.939
asia-northeast1,northamerica-northeast2,140.945
europe-west6,me-central1,113.154
me-central1,europe-west6,113.164
me-central1,australia-southeast1,186.58
australia-southeast1,me-central1,186.587
me-west1,europe-west10,62.722
europe-west10,me-west1,62.719
us-west4,us-west2,6.656
us-west2,us-west4,6.66
us-east5,us-east1,19.199
us-east1,us-east5,19.196
asia-south2,asia-northeast2,146.246
asia-northeast2,asia-south2,146.251
europe-central2,europe-north1,19.383
northamerica-northeast1,europe-north1,114.284
europe-north1,northamerica-northeast1,114.297
europe-west3,europe-west2,12.574
europe-west2,europe-west3,12.558
europe-west4,europe-west6,11.973
europe-west6,europe-west4,11.978
us-west1,us-east4,55.104
us-east4,us-west1,55.112
asia-northeast1,europe-west12,235.263
us-east4,europe-north1,101.049
europe-north1,us-east4,101.05
us-west4,europe-central2,155.308
europe-central2,us-west4,155.308
asia-east2,europe-west4,224.41
europe-west4,asia-east2,224.421
us-west3,europe-west4,120.915
europe-west4,us-west3,120.851
asia-east2,us-central1,161.981
us-central1,asia-east2,161.986
europe-west6,us-east5,107.382
us-east5,europe-west6,107.393
asia-northeast2,us-east1,165.498
us-east1,asia-northeast2,165.501
us-west1,europe-central2,151.122
europe-west1,us-central1,103.331
us-central1,europe-west1,103.332
europe-west2,asia-northeast3,256.638
asia-northeast3,europe-west2,256.643
asia-east2,us-west4,144.521
us-west4,asia-east1,132.342
europe-west9,asia-northeast1,220.251
asia-northeast1,europe-west9,220.241
europe-central2,us-east1,107.362
us-east1,europe-central2,107.354
europe-north1,australia-southeast1,293.669
australia-southeast1,europe-north1,293.646
europe-west1,us-east5,87.929
asia-south1,us-central1,219.579
us-central1,asia-south1,219.767
europe-west6,us-west1,149.1
us-west1,europe-west6,149.088
asia-east2,northamerica-northeast1,191.139
northamerica-northeast1,asia-east2,191.157
australia-southeast1,us-east4,191.985
us-east4,australia-southeast1,191.979
asia-southeast2,northamerica-northeast2,222.414
europe-central2,asia-south1,141.936
asia-south1,europe-central2,141.927
southamerica-east1,asia-northeast2,264.831
asia-northeast2,southamerica-east1,264.834
europe-southwest1,northamerica-northeast2,95.293
asia-south2,us-central1,245.475
us-central1,asia-south2,245.471
asia-southeast2,us-east4,223.19
us-east4,asia-southeast2,223.207
australia-southeast1,northamerica-northeast1,198.258
northamerica-northeast1,australia-southeast1,198.259
us-west1,us-east1,64.389
us-east1,us-west1,64.417
europe-southwest1,us-east4,85.274
us-east4,europe-southwest1,85.283
asia-northeast2,asia-east1,35.4
asia-east1,asia-northeast2,35.406
europe-west2,europe-west10,17.317
europe-west10,europe-west2,17.331
europe-west4,europe-north1,30.379
europe-north1,europe-west4,30.381
southamerica-east1,europe-west1,193.632
europe-west1,southamerica-east1,193.652
europe-north1,europe-west3,29.893
europe-west3,europe-north1,29.902
europe-west9,southamerica-east1,192.23
southamerica-east1,europe-west9,192.284
europe-west2,europe-north1,39.3
europe-north1,europe-west2,39.323
us-east1,us-central1,34.604
asia-east1,asia-east2,12.353
asia-east2,asia-east1,12.331
us-west2,us-west1,24.538
us-west1,us-west2,24.53
northamerica-northeast2,us-east1,31.503
us-east1,northamerica-northeast2,31.499
europe-west10,europe-west3,11.066
europe-west3,europe-west10,11.044
asia-northeast1,us-east4,142.345
us-east4,asia-northeast1,142.352
asia-east2,europe-west8,217.64
europe-west8,asia-east2,217.637
us-east4,asia-southeast1,209.596
asia-southeast1,us-east4,209.618
us-east5,europe-north1,109.167
us-east5,europe-west1,87.92
northamerica-northeast1,europe-west10,92.331
europe-west10,northamerica-northeast1,92.347
northamerica-northeast1,europe-west2,76.197
europe-west2,northamerica-northeast1,76.175
me-west1,us-west1,181.038
us-west1,me-west1,181.018
northamerica-northeast1,europe-west4,84.617
us-west3,asia-northeast1,113.411
asia-northeast1,us-west3,113.416
europe-west2,australia-southeast1,262.846
australia-southeast1,europe-west2,262.856
us-west1,asia-southeast1,154.909
southamerica-east1,europe-west12,209.961
europe-west12,southamerica-east1,209.996
asia-south1,asia-south2,20.718
asia-south2,asia-south1,20.72
us-east5,us-central1,20.028
us-central1,us-east5,20.061
us-west1,me-central1,245.195
me-central1,us-west1,245.195
us-central1,us-east1,34.617
europe-west9,europe-southwest1,16.103
europe-southwest1,europe-west9,16.104
europe-west10,europe-west12,24.106
europe-west12,europe-west10,24.12
us-west4,northamerica-northeast2,60.675
southamerica-east1,asia-northeast1,257.617
asia-northeast1,southamerica-east1,257.614
europe-west12,europe-west2,23.733
europe-west2,europe-west12,23.702
europe-west9,europe-west10,16.288
europe-west10,europe-west9,16.294
europe-west12,us-west1,147.932
us-west1,europe-west12,147.951
europe-central2,europe-west1,20.711
europe-west1,europe-central2,20.71
europe-west6,europe-west3,5.547
europe-west3,europe-west6,5.543
europe-west6,europe-west10,14.686
europe-west10,europe-west6,14.669
asia-northeast1,asia-northeast2,8.86
asia-northeast2,asia-northeast1,8.85
asia-east2,asia-northeast1,48.217
asia-northeast1,asia-east2,48.209
us-west1,us-central1,31.613
us-central1,us-west1,31.622
asia-southeast2,asia-northeast2,88.339
asia-northeast2,asia-southeast2,88.335
europe-southwest1,asia-east1,225.995
asia-east1,europe-southwest1,226.005
europe-west10,asia-northeast2,243.022
us-west3,asia-south1,231.578
asia-south1,us-west3,231.57
australia-southeast1,asia-northeast2,106.193
asia-northeast2,australia-southeast1,106.208
australia-southeast1,asia-east1,130.593
asia-southeast2,us-west3,186.459
us-east4,europe-west12,95.08
europe-west12,us-east4,95.018
us-east1,europe-west4,97.411
europe-west4,us-east1,97.408
me-central1,us-west4,251.74
us-west4,me-central1,252.181
me-west1,us-west4,187.531
us-west4,me-west1,187.529
asia-east1,europe-west9,226.642
europe-west9,asia-east1,226.653
northamerica-northeast2,me-west1,138.54
australia-southeast2,europe-west12,259.565
europe-west12,australia-southeast2,259.559
asia-northeast2,northamerica-northeast1,160.989
northamerica-northeast1,asia-northeast2,160.996
asia-south1,australia-southeast2,143.458
australia-southeast2,asia-south1,143.184
me-west1,europe-west2,56.61
europe-west2,me-west1,56.6
southamerica-east1,europe-west8,209.794
europe-west8,southamerica-east1,209.787
me-west1,us-west3,168.015
us-west3,me-west1,168.022
me-central1,europe-north1,148.898
europe-north1,me-central1,148.898
us-central1,asia-southeast2,217.814
asia-southeast2,us-central1,217.921
australia-southeast1,europe-west10,283.238
europe-west10,australia-southeast1,283.243
me-west1,asia-northeast3,218.667
asia-northeast3,me-west1,218.674
australia-southeast2,southamerica-east1,305.784
southamerica-east1,australia-southeast2,305.792
me-central1,asia-northeast1,168.24
asia-northeast1,me-central1,168.225
us-west2,asia-south2,232.987
asia-south2,us-west2,230.943
me-west1,europe-southwest1,52.518
europe-southwest1,me-west1,52.511
europe-west2,europe-west4,9.316
europe-west4,europe-west2,9.312
asia-northeast2,europe-west10,243.023
europe-west6,asia-southeast1,196.31
asia-southeast1,europe-west6,196.337
us-east5,asia-northeast3,165.604
asia-northeast3,us-east5,165.601
us-east5,asia-south1,204.394
us-west3,europe-west10,130.426
europe-west10,us-west3,130.427
us-west3,asia-southeast2,186.454
europe-west1,europe-west12,19.824
europe-west12,europe-west1,19.827
us-west1,australia-southeast1,137.214
australia-southeast1,us-west1,137.213
us-west2,asia-southeast2,172.031
asia-southeast2,us-west2,171.961
asia-southeast1,asia-east2,35.553
asia-east2,asia-southeast1,35.522
asia-northeast2,asia-south1,133.781
asia-south1,asia-northeast2,132.556
us-west3,us-west2,14.982
us-west2,us-west3,14.432
asia-northeast3,asia-south1,129.278
asia-south1,asia-northeast3,129.274
asia-east1,asia-northeast1,35.059
asia-northeast1,asia-east1,35.059
asia-southeast2,asia-southeast1,13.638
asia-southeast1,asia-southeast2,14.084
australia-southeast1,us-central1,168.464
us-central1,australia-southeast1,168.455
us-west4,us-west3,8.685
us-west3,us-west4,8.694
europe-west8,europe-west6,4.683
europe-west6,europe-west8,4.688
us-east5,me-west1,134.754
europe-west8,europe-west12,4.153
europe-west12,europe-west8,4.084
us-east1,asia-east2,197.008
asia-east2,us-east1,196.982
us-west4,asia-east2,144.513
us-west4,europe-southwest1,143.437
europe-southwest1,us-west4,143.65
asia-southeast1,us-west4,164.92
us-west4,asia-southeast1,164.901
us-west2,europe-west12,157.534
europe-west12,us-west2,157.246
europe-west1,asia-northeast1,221.851
asia-northeast1,europe-west1,221.843
us-east5,europe-west12,101.949
europe-west12,us-east5,101.968
us-east4,europe-west10,88.217
europe-west10,us-east4,88.215
asia-southeast1,europe-west12,188.093
us-west1,europe-southwest1,147.12
southamerica-east1,us-east5,122.049
us-east5,southamerica-east1,122.052
europe-southwest1,europe-west12,19.476
europe-west12,europe-southwest1,19.48
asia-northeast2,europe-west3,262.286
asia-northeast3,asia-east2,35.949
asia-east2,asia-northeast3,35.971
us-east4,us-east1,11.319
us-east1,us-east4,11.316
asia-northeast2,asia-northeast3,28.753
asia-northeast3,asia-northeast2,28.759
us-east4,us-central1,23.872
us-central1,us-east4,23.876
europe-west10,europe-southwest1,30.884
europe-southwest1,europe-west10,30.887
europe-west2,europe-central2,25.8
europe-central2,europe-west2,25.816
asia-southeast1,us-west1,154.91
me-central1,northamerica-northeast2,203.453
northamerica-northeast2,me-central1,203.452
europe-west3,europe-west1,7.378
europe-west1,europe-west3,7.381
europe-west12,europe-west4,17.788
europe-west4,europe-west12,17.749
northamerica-northeast1,us-west3,47.471
us-west3,northamerica-northeast1,47.473
asia-south1,asia-east1,102.766
me-west1,australia-southeast1,241.619
australia-southeast1,me-west1,241.623
me-central1,europe-west9,113.57
europe-west9,me-central1,113.576
asia-southeast1,us-east5,205.607
us-east5,asia-southeast1,205.68
europe-southwest1,us-west1,147.115
europe-west12,asia-south2,136.44
asia-south2,europe-west12,136.517
me-central1,asia-southeast1,94.458
asia-southeast1,me-central1,94.294
me-west1,northamerica-northeast2,138.544
northamerica-northeast2,us-west1,53.704
us-west1,northamerica-northeast2,53.699
us-central1,northamerica-northeast2,22.449
northamerica-northeast2,us-central1,22.456
europe-west8,us-east5,103.272
us-east5,europe-west8,103.282
us-west1,northamerica-northeast1,60.469
northamerica-northeast1,us-west1,60.462
asia-east1,asia-south1,102.775
europe-west12,asia-southeast1,195.299
me-west1,us-east5,134.755
us-west1,us-west3,29.782
us-west3,us-west1,29.545
us-west3,europe-west9,120.201
europe-west9,us-west3,120.213
