sending_region,receiving_region,milliseconds
australia-southeast2,us-east1,207.188
us-east1,australia-southeast2,207.18
northamerica-northeast2,europe-west10,99.212
europe-west10,northamerica-northeast2,99.221
southamerica-east1,europe-west3,200.449
europe-west3,southamerica-east1,200.486
me-west1,europe-central2,71.605
europe-central2,me-west1,71.628
europe-west9,asia-northeast2,231.467
asia-northeast2,europe-west9,231.473
northamerica-northeast1,europe-west12,98.853
europe-west12,northamerica-northeast1,98.767
europe-southwest1,europe-west6,24.621
europe-west6,europe-southwest1,24.641
us-west3,europe-west2,113.121
europe-west2,us-west3,113.116
europe-west9,us-central1,101.741
us-central1,europe-west9,101.69
europe-west9,europe-west1,4.443
europe-west1,europe-west9,4.448
europe-central2,australia-southeast1,293.145
australia-southeast1,europe-central2,293.137
northamerica-northeast1,us-central1,29.235
us-central1,northamerica-northeast1,29.128
us-west1,europe-north1,155.749
europe-north1,us-west1,155.746
us-west1,asia-southeast2,168.68
asia-southeast2,us-west1,168.685
europe-west6,asia-northeast1,240.127
asia-northeast1,europe-west6,240.127
northamerica-northeast1,asia-southeast2,228.814
us-west2,northamerica-northeast2,62.953
northamerica-northeast2,us-west2,62.961
asia-northeast1,australia-southeast1,105.909
australia-southeast1,asia-northeast1,105.909
us-central1,europe-west6,118.105
europe-west6,us-central1,118.099
europe-west1,europe-west8,16.184
europe-west8,europe-west1,16.188
europe-southwest1,europe-west4,25.673
europe-west4,europe-southwest1,25.688
europe-west10,europe-north1,19.541
europe-north1,europe-west10,19.539
asia-south1,australia-southeast1,151.664
australia-southeast1,asia-south1,151.402
australia-southeast1,us-west3,151.345
us-west3,australia-southeast1,151.33
asia-south1,northamerica-northeast1,201.806
northamerica-northeast1,asia-south1,201.79
southamerica-east1,asia-southeast2,330.278
asia-southeast2,southamerica-east1,330.22
europe-west8,me-west1,44.504
me-west1,europe-west8,44.543
europe-west2,us-east5,80.699
us-east5,europe-west2,80.73
europe-west9,europe-west4,11.046
europe-west4,europe-west9,11.042
europe-west9,asia-northeast3,247.629
asia-northeast3,europe-west9,247.631
europe-central2,europe-west4,17.223
europe-west4,europe-central2,17.219
me-west1,asia-east1,192.873
asia-east1,me-west1,193.969
southamerica-east1,europe-central2,210.282
europe-central2,southamerica-east1,210.28
me-west1,us-central1,149.356
us-central1,me-west1,149.354
europe-west8,europe-west10,21.214
europe-west10,europe-west8,21.22
europe-west6,me-west1,48.794
asia-east1,asia-northeast3,37.832
asia-northeast3,asia-east1,37.838
europe-west4,europe-west10,8.658
europe-west10,europe-west4,8.673
asia-south2,asia-east1,111.679
asia-east1,asia-south2,111.3
australia-southeast1,asia-southeast1,92.563
asia-southeast1,australia-southeast1,92.565
europe-west1,europe-west6,11.77
europe-west6,europe-west1,11.766
europe-west8,europe-west3,9.533
europe-west3,europe-west8,9.525
southamerica-east1,us-east1,116.494
us-east1,southamerica-east1,116.217
us-west1,us-west4,32.529
us-west4,us-west1,32.536
europe-north1,europe-west1,31.024
europe-west1,europe-north1,31.023
us-east5,northamerica-northeast1,19.934
northamerica-northeast1,us-east5,20.044
asia-southeast2,asia-northeast1,84.638
asia-northeast1,asia-southeast2,84.075
southamerica-east1,europe-west4,200.556
europe-west4,southamerica-east1,200.529
asia-southeast1,asia-south2,68.361
asia-south2,asia-southeast1,68.352
me-west1,us-east1,138.148
us-east1,me-west1,138.159
europe-west6,europe-central2,23.142
europe-central2,europe-west6,23.148
europe-west3,europe-central2,19.554
europe-central2,europe-west3,19.565
asia-southeast1,asia-east1,44.559
asia-east1,asia-southeast1,44.56
europe-west9,northamerica-northeast2,89.151
northamerica-northeast2,europe-west9,89.136
asia-northeast1,asia-south1,130.079
asia-south1,asia-northeast1,130.081
northamerica-northeast2,us-west4,60.686
us-west4,southamerica-east1,162.137
southamerica-east1,us-west4,162.127
europe-west6,australia-southeast1,269.76
australia-southeast1,europe-west6,270.324
us-west2,australia-southeast1,137.35
australia-southeast1,us-west2,137.337
me-central1,us-central1,213.91
us-central1,me-central1,213.813
us-west2,us-east4,63.444
us-east4,us-west2,63.419
australia-southeast1,southamerica-east1,294.259
southamerica-east1,australia-southeast1,294.279
us-west2,us-east1,59.333
us-east1,us-west2,59.339
asia-southeast2,asia-northeast3,84.018
asia-northeast3,asia-southeast2,84.029
us-west4,us-east1,55.172
us-east1,us-west4,55.168
europe-west9,us-east5,86.192
us-east5,europe-west9,86.192
asia-south1,asia-southeast2,72.675
asia-southeast2,asia-south1,72.677
europe-west9,europe-central2,24.836
europe-central2,europe-west9,24.839
me-central1,europe-west1,114.665
europe-west1,me-central1,114.601
us-east4,us-west4,59.267
us-west4,us-east4,59.271
europe-west4,europe-west8,15.834
europe-west8,europe-west4,15.853
europe-southwest1,europe-central2,39.484
europe-central2,europe-southwest1,39.501
europe-west1,europe-west4,6.917
europe-west4,europe-west1,6.943
europe-north1,europe-west8,40.207
europe-west8,europe-north1,40.194
us-east4,us-west3,42.576
us-west3,us-east4,42.581
northamerica-northeast1,southamerica-east1,127.896
asia-southeast2,europe-west4,212.47
europe-west4,asia-southeast2,211.584
asia-northeast2,europe-central2,278.092
europe-central2,asia-northeast2,278.112
europe-west8,asia-northeast3,244.089
asia-northeast3,europe-west8,244.09
europe-west1,asia-east2,228.855
asia-east2,europe-west1,228.859
europe-west2,asia-east1,235.525
asia-east1,europe-west2,235.54
europe-west4,asia-northeast2,232.351
